date_adj,pres,sentiment
2017-05-04,Obama,-23
2017-05-04,Trump,-137
2017-05-05,Obama,-217
2017-05-05,Trump,-264
2017-05-06,Obama,-114
2017-05-06,Trump,-332
2017-05-07,Obama,-23
2017-05-07,Trump,-211
2017-05-08,Obama,-60
2017-05-08,Trump,-162
2017-05-09,Obama,-58
2017-05-09,Trump,-364
2017-05-10,Obama,-72
2017-05-10,Trump,-84
2017-05-11,Obama,35
2017-05-11,Trump,-111
2017-05-12,Obama,-208
2017-05-12,Trump,-153
2017-05-13,Obama,-39
2017-05-13,Trump,-101
2017-05-14,Obama,22
2017-05-14,Trump,-101
2017-05-15,Obama,-175
2017-05-15,Trump,-43
2017-05-16,Obama,-25
2017-05-16,Trump,-82
2017-05-17,Obama,-46
2017-05-17,Trump,-87
2017-05-18,Obama,24
2017-05-18,Trump,-230
2017-05-19,Obama,-153
2017-05-19,Trump,-165
2017-05-20,Obama,-217
2017-05-20,Trump,-53
2017-05-21,Obama,-139
2017-05-21,Trump,-179
2017-05-22,Obama,-23
2017-05-22,Trump,-213
2017-05-23,Obama,28
2017-05-23,Trump,-161
2017-05-24,Obama,25
2017-05-24,Trump,-172
2017-05-25,Obama,-113
2017-05-25,Trump,89
2017-05-26,Obama,-36
2017-05-26,Trump,-242
2017-05-27,Obama,16
2017-05-27,Trump,-144
2017-05-28,Obama,-113
2017-05-28,Trump,-214
2017-05-29,Obama,-11
2017-05-29,Trump,-50
2017-05-30,Obama,-8
2017-05-30,Trump,-257
2017-05-31,Obama,-48
2017-05-31,Trump,-208
2017-06-01,Obama,20
2017-06-01,Trump,-181
2017-06-02,Obama,-116
2017-06-02,Trump,-70
2017-06-03,Obama,-172
2017-06-03,Trump,-94
2017-06-04,Obama,40
2017-06-04,Trump,-236
2017-06-05,Obama,-5
2017-06-05,Trump,-214
2017-06-06,Obama,49
2017-06-06,Trump,-105
2017-06-07,Obama,10
2017-06-07,Trump,-38
2017-06-08,Obama,-181
2017-06-08,Trump,-212
2017-06-09,Obama,-48
2017-06-09,Trump,-19
2017-06-10,Obama,-97
2017-06-10,Trump,-47
2017-06-11,Obama,-19
2017-06-11,Trump,-310
2017-06-12,Obama,-44
2017-06-12,Trump,-86
2017-06-13,Obama,-73
2017-06-13,Trump,-185
2017-06-14,Obama,-112
2017-06-14,Trump,-189
2017-06-15,Obama,-104
2017-06-15,Trump,-49
2017-06-16,Obama,-43
2017-06-16,Trump,32
2017-06-17,Obama,-58
2017-06-17,Trump,70
2017-06-18,Obama,58
2017-06-18,Trump,-208
2017-06-19,Obama,35
2017-06-19,Trump,41
2017-06-20,Obama,-6
2017-06-20,Trump,-232
2017-06-21,Obama,-74
2017-06-21,Trump,-27
2017-06-22,Obama,-85
2017-06-22,Trump,0
2017-06-23,Obama,-33
2017-06-23,Trump,-210
2017-06-24,Obama,-33
2017-06-24,Trump,-171
2017-06-25,Obama,-74
2017-06-25,Trump,-254
2017-06-26,Obama,-71
2017-06-26,Trump,-211
2017-06-27,Obama,-5
2017-06-27,Trump,-304
2017-06-28,Obama,-67
2017-06-28,Trump,-7
2017-06-29,Obama,2
2017-06-29,Trump,-241
2017-06-30,Obama,-141
2017-06-30,Trump,-321
2017-07-01,Obama,26
2017-07-01,Trump,-121
2017-07-02,Obama,-81
2017-07-02,Trump,-118
2017-07-03,Obama,-26
2017-07-03,Trump,-131
2017-07-04,Obama,-20
2017-07-04,Trump,-57
2017-07-05,Obama,-146
2017-07-05,Trump,23
2017-07-06,Obama,-62
2017-07-06,Trump,-72
2017-07-07,Obama,-87
2017-07-07,Trump,-316
2017-07-08,Obama,-2
2017-07-08,Trump,-120
2017-07-09,Obama,-127
2017-07-09,Trump,-158
2017-07-10,Obama,-112
2017-07-10,Trump,-64
2017-07-11,Obama,-152
2017-07-11,Trump,-84
2017-07-12,Obama,-43
2017-07-12,Trump,-195
2017-07-13,Obama,-77
2017-07-13,Trump,-163
2017-07-14,Obama,14
2017-07-14,Trump,-58
2017-07-15,Obama,-10
2017-07-15,Trump,-251
2017-07-16,Obama,-23
2017-07-16,Trump,-47
2017-07-17,Obama,56
2017-07-17,Trump,-31
2017-07-18,Obama,-36
2017-07-18,Trump,-55
2017-07-19,Obama,12
2017-07-19,Trump,-36
2017-07-20,Obama,-45
2017-07-20,Trump,-41
2017-07-21,Obama,-113
2017-07-21,Trump,-225
2017-07-22,Obama,-50
2017-07-22,Trump,-70
2017-07-23,Obama,-169
2017-07-23,Trump,-63
2017-07-24,Obama,10
2017-07-24,Trump,-249
2017-07-25,Obama,-152
2017-07-25,Trump,-310
2017-07-26,Obama,-71
2017-07-26,Trump,-438
2017-07-27,Obama,-63
2017-07-27,Trump,-142
2017-07-28,Obama,-16
2017-07-28,Trump,-173
2017-07-29,Obama,-85
2017-07-29,Trump,-71
2017-07-30,Obama,-57
2017-07-30,Trump,-83
2017-07-31,Obama,64
2017-07-31,Trump,-176
2017-08-01,Trump,-206
2017-08-02,Obama,32
2017-08-02,Trump,-29
2017-08-03,Obama,7
2017-08-03,Trump,-44
2017-08-04,Obama,-126
2017-08-04,Trump,-202
2017-08-05,Obama,-26
2017-08-05,Trump,12
2017-08-06,Obama,-37
2017-08-06,Trump,-89
2017-08-07,Obama,-91
2017-08-07,Trump,6
2017-08-08,Obama,-36
2017-08-08,Trump,-334
2017-08-09,Obama,-74
2017-08-09,Trump,-236
2017-08-10,Obama,-24
2017-08-10,Trump,-250
2017-08-11,Obama,-125
2017-08-11,Trump,-271
2017-08-12,Obama,-156
2017-08-12,Trump,-104
2017-08-13,Obama,-131
2017-08-13,Trump,-43
2017-08-14,Obama,-17
2017-08-14,Trump,-62
2017-08-15,Obama,-91
2017-08-15,Trump,-368
2017-08-16,Obama,-181
2017-08-16,Trump,-97
2017-08-17,Obama,-20
2017-08-17,Trump,-421
2017-08-18,Obama,-54
2017-08-18,Trump,-235
2017-08-19,Obama,-75
2017-08-19,Trump,-258
2017-08-20,Obama,-16
2017-08-20,Trump,-189
2017-08-21,Obama,-89
2017-08-21,Trump,-72
2017-08-22,Obama,-170
2017-08-22,Trump,-173
2017-08-23,Obama,-167
2017-08-23,Trump,-111
2017-08-24,Obama,21
2017-08-24,Trump,-76
2017-08-25,Obama,-50
2017-08-25,Trump,-192
2017-08-26,Obama,8
2017-08-26,Trump,-119
2017-08-27,Obama,-47
2017-08-27,Trump,-221
2017-08-28,Obama,122
2017-08-28,Trump,17
2017-08-29,Obama,-37
2017-08-29,Trump,-115
2017-08-30,Obama,-119
2017-08-30,Trump,-104
2017-08-31,Obama,-27
2017-08-31,Trump,-248
2017-09-01,Obama,-72
2017-09-01,Trump,-135
2017-09-02,Obama,10
2017-09-02,Trump,-97
2017-09-03,Obama,26
2017-09-03,Trump,-341
2017-09-04,Obama,34
2017-09-04,Trump,-145
2017-09-05,Obama,-75
2017-09-05,Trump,-170
2017-09-06,Obama,-58
2017-09-06,Trump,-480
2017-09-07,Obama,-47
2017-09-07,Trump,-205
2017-09-08,Obama,-1
2017-09-08,Trump,-173
2017-09-09,Obama,-110
2017-09-09,Trump,-139
2017-09-10,Obama,24
2017-09-10,Trump,-212
2017-09-11,Obama,21
2017-09-11,Trump,-57
2017-09-12,Obama,-69
2017-09-12,Trump,-90
2017-09-13,Obama,-54
2017-09-13,Trump,-73
2017-09-14,Obama,-24
2017-09-14,Trump,-23
2017-09-15,Obama,-22
2017-09-15,Trump,-42
2017-09-16,Obama,-86
2017-09-16,Trump,-212
2017-09-17,Obama,-60
2017-09-17,Trump,-337
2017-09-18,Obama,-35
2017-09-18,Trump,-5
2017-09-19,Obama,-77
2017-09-19,Trump,-15
2017-09-20,Obama,-61
2017-09-20,Trump,-244
2017-09-21,Obama,-85
2017-09-21,Trump,-178
2017-09-22,Obama,-40
2017-09-22,Trump,-55
2017-09-23,Obama,-54
2017-09-23,Trump,-98
2017-09-24,Obama,-61
2017-09-24,Trump,-145
2017-09-25,Obama,-93
2017-09-25,Trump,-387
2017-09-26,Obama,-83
2017-09-26,Trump,-345
2017-09-27,Obama,-74
2017-09-27,Trump,-62
2017-09-28,Obama,-88
2017-09-28,Trump,-51
2017-09-29,Obama,-90
2017-09-29,Trump,-155
2017-09-30,Obama,-180
2017-09-30,Trump,-81
2017-10-01,Obama,-98
2017-10-01,Trump,-301
2017-10-02,Obama,-6
2017-10-02,Trump,-47
2017-10-03,Obama,16
2017-10-03,Trump,-83
2017-10-04,Obama,-79
2017-10-04,Trump,-152
2017-10-05,Obama,-129
2017-10-05,Trump,-319
2017-10-06,Obama,-128
2017-10-06,Trump,-78
2017-10-07,Obama,-68
2017-10-07,Trump,4
2017-10-08,Obama,-22
2017-10-08,Trump,-151
2017-10-09,Obama,-13
2017-10-09,Trump,-174
2017-10-10,Obama,-57
2017-10-10,Trump,-27
2017-10-11,Obama,-34
2017-10-11,Trump,-241
2017-10-12,Obama,-29
2017-10-12,Trump,-254
2017-10-13,Obama,-69
2017-10-13,Trump,-134
2017-10-14,Obama,-129
2017-10-14,Trump,-133
2017-10-15,Obama,-140
2017-10-15,Trump,-59
2017-10-16,Obama,-95
2017-10-16,Trump,60
2017-10-17,Obama,-172
2017-10-17,Trump,-170
2017-10-18,Obama,-221
2017-10-18,Trump,-173
2017-10-19,Obama,-96
2017-10-19,Trump,-364
2017-10-20,Obama,68
2017-10-20,Trump,-269
2017-10-21,Obama,-78
2017-10-21,Trump,-178
2017-10-22,Obama,-78
2017-10-22,Trump,-124
2017-10-23,Obama,-47
2017-10-23,Trump,-19
2017-10-24,Obama,-26
2017-10-24,Trump,-213
2017-10-25,Obama,-130
2017-10-25,Trump,-232
2017-10-26,Obama,-48
2017-10-26,Trump,-42
2017-10-27,Obama,-49
2017-10-27,Trump,-60
2017-10-28,Obama,-223
2017-10-28,Trump,-96
2017-10-29,Obama,-96
2017-10-29,Trump,-155
2017-10-30,Obama,18
2017-10-30,Trump,-39
2017-10-31,Obama,-164
2017-10-31,Trump,-178
2017-11-01,Obama,-16
2017-11-01,Trump,-301
2017-11-02,Obama,-12
2017-11-02,Trump,-637
2017-11-03,Obama,-174
2017-11-03,Trump,-432
2017-11-04,Obama,25
2017-11-04,Trump,-187
2017-11-05,Obama,-29
2017-11-05,Trump,-307
2017-11-06,Obama,-78
2017-11-06,Trump,-63
2017-11-07,Obama,12
2017-11-07,Trump,-184
2017-11-08,Obama,-18
2017-11-08,Trump,-98
2017-11-09,Obama,-83
2017-11-09,Trump,-59
2017-11-10,Obama,-15
2017-11-10,Trump,-93
2017-11-11,Obama,-282
2017-11-11,Trump,-26
2017-11-12,Obama,-148
2017-11-12,Trump,-112
2017-11-13,Obama,-40
2017-11-13,Trump,8
2017-11-14,Obama,-5
2017-11-14,Trump,-11
2017-11-15,Obama,31
2017-11-15,Trump,-53
2017-11-16,Obama,8
2017-11-16,Trump,-60
2017-11-17,Obama,-113
2017-11-17,Trump,43
2017-11-18,Obama,-19
2017-11-18,Trump,-8
2017-11-19,Obama,-5
2017-11-19,Trump,-210
2017-11-20,Obama,-59
2017-11-20,Trump,-105
2017-11-21,Obama,-59
2017-11-21,Trump,-55
2017-11-22,Obama,11
2017-11-22,Trump,-245
2017-11-23,Obama,-27
2017-11-23,Trump,-65
2017-11-24,Obama,-177
2017-11-24,Trump,-38
2017-11-25,Obama,-97
2017-11-25,Trump,-61
2017-11-26,Obama,-17
2017-11-26,Trump,-91
2017-11-27,Obama,-21
2017-11-27,Trump,40
2017-11-28,Obama,6
2017-11-28,Trump,-35
2017-11-29,Obama,-20
2017-11-29,Trump,-182
2017-11-30,Obama,-32
2017-11-30,Trump,-218
2017-12-01,Obama,-51
2017-12-01,Trump,-270
2017-12-02,Obama,-7
2017-12-02,Trump,-194
2017-12-03,Obama,-166
2017-12-03,Trump,-7
2017-12-04,Obama,-26
2017-12-04,Trump,-61
2017-12-05,Obama,-2
2017-12-05,Trump,-109
2017-12-06,Obama,-31
2017-12-06,Trump,-185
2017-12-07,Obama,-18
2017-12-07,Trump,-176
2017-12-08,Obama,-136
2017-12-08,Trump,-11
2017-12-09,Obama,64
2017-12-09,Trump,-194
2017-12-10,Obama,52
2017-12-10,Trump,-191
2017-12-11,Obama,15
2017-12-11,Trump,-79
2017-12-12,Obama,-417
2017-12-12,Trump,-248
2017-12-13,Obama,-92
2017-12-13,Trump,-161
2017-12-14,Obama,-59
